mean,variance,skew,histogram,histogram_tuple,frequency,sorted_set,is_used,log_frequency,sqrt_frequency
2.2,1.7600000000000002,-0.3700366501636195,"[1, 0, 2, 1, 1, 0]","(1, 0, 2, 1, 1, 0)",0,"{0, 2, 2, 3, 4}",False,0.0,0.0
2.4,2.64,0.1790421686972114,"[1, 0, 2, 1, 0, 1]","(1, 0, 2, 1, 0, 1)",0,"{0, 2, 2, 3, 5}",False,0.0,0.0
2.4,2.24,-0.3436215967445454,"[1, 0, 2, 0, 2, 0]","(1, 0, 2, 0, 2, 0)",0,"{0, 2, 2, 4, 4}",False,0.0,0.0
2.6,3.04,-0.05433530539039645,"[1, 0, 2, 0, 1, 1]","(1, 0, 2, 0, 1, 1)",0,"{0, 2, 2, 4, 5}",False,0.0,0.0
2.8,3.7599999999999993,-0.04608477908815856,"[1, 0, 2, 0, 0, 2]","(1, 0, 2, 0, 0, 2)",0,"{0, 2, 2, 5, 5}",False,0.0,0.0
2.2,1.3599999999999999,-1.1500493356615302,"[1, 0, 1, 3, 0, 0]","(1, 0, 1, 3, 0, 0)",0,"{0, 2, 3, 3, 3}",False,0.0,0.0
2.4,1.8400000000000003,-0.7500308204401287,"[1, 0, 1, 2, 1, 0]","(1, 0, 1, 2, 1, 0)",0,"{0, 2, 3, 3, 4}",False,0.0,0.0
2.6,2.64,-0.17904216869721146,"[1, 0, 1, 2, 0, 1]","(1, 0, 1, 2, 0, 1)",0,"{0, 2, 3, 3, 5}",False,0.0,0.0
2.6,2.2399999999999998,-0.73019589308216,"[1, 0, 1, 1, 2, 0]","(1, 0, 1, 1, 2, 0)",1,"{0, 2, 3, 4, 4}",True,0.6931471805599453,1.0
2.8,2.96,-0.3958703373438167,"[1, 0, 1, 1, 1, 1]","(1, 0, 1, 1, 1, 1)",35,"{0, 2, 3, 4, 5}",True,3.58351893845611,5.916079783099616
3.0,3.6,-0.35136418446315326,"[1, 0, 1, 1, 0, 2]","(1, 0, 1, 1, 0, 2)",1,"{0, 2, 3, 5, 5}",True,0.6931471805599453,1.0
2.8,2.56,-0.8437499999999996,"[1, 0, 1, 0, 3, 0]","(1, 0, 1, 0, 3, 0)",0,"{0, 2, 4, 4, 4}",False,0.0,0.0
3.0,3.2,-0.6288941186718158,"[1, 0, 1, 0, 2, 1]","(1, 0, 1, 0, 2, 1)",0,"{0, 2, 4, 4, 5}",False,0.0,0.0
3.2,3.7600000000000002,-0.6122692078855394,"[1, 0, 1, 0, 1, 2]","(1, 0, 1, 0, 1, 2)",0,"{0, 2, 4, 5, 5}",False,0.0,0.0
3.4,4.24,-0.6817327184847208,"[1, 0, 1, 0, 0, 3]","(1, 0, 1, 0, 0, 3)",1,"{0, 2, 5, 5, 5}",True,0.6931471805599453,1.0
2.4,1.4400000000000002,-1.5000000000000002,"[1, 0, 0, 4, 0, 0]","(1, 0, 0, 4, 0, 0)",0,"{0, 3, 3, 3, 3}",False,0.0,0.0
2.6,1.8400000000000003,-1.1731251294063556,"[1, 0, 0, 3, 1, 0]","(1, 0, 0, 3, 1, 0)",0,"{0, 3, 3, 3, 4}",False,0.0,0.0
2.8,2.56,-0.5507812499999997,"[1, 0, 0, 3, 0, 1]","(1, 0, 0, 3, 0, 1)",0,"{0, 3, 3, 3, 5}",False,0.0,0.0
2.8,2.16,-1.16426364317472,"[1, 0, 0, 2, 2, 0]","(1, 0, 0, 2, 2, 0)",0,"{0, 3, 3, 4, 4}",False,0.0,0.0
3.0,2.8,-0.7683612488578246,"[1, 0, 0, 2, 1, 1]","(1, 0, 0, 2, 1, 1)",2,"{0, 3, 3, 4, 5}",True,1.0986122886681098,1.4142135623730951
3.2,3.3600000000000003,-0.6858276550274052,"[1, 0, 0, 2, 0, 2]","(1, 0, 0, 2, 0, 2)",0,"{0, 3, 3, 5, 5}",False,0.0,0.0
3.0,2.4,-1.2909944487358056,"[1, 0, 0, 1, 3, 0]","(1, 0, 0, 1, 3, 0)",0,"{0, 3, 4, 4, 4}",False,0.0,0.0
3.2,2.96,-1.0179522960269587,"[1, 0, 0, 1, 2, 1]","(1, 0, 0, 1, 2, 1)",0,"{0, 3, 4, 4, 5}",False,0.0,0.0
3.4,3.44,-0.9704949588309455,"[1, 0, 0, 1, 1, 2]","(1, 0, 0, 1, 1, 2)",0,"{0, 3, 4, 5, 5}",False,0.0,0.0
3.6,3.84,-1.0269996056981556,"[1, 0, 0, 1, 0, 3]","(1, 0, 0, 1, 0, 3)",0,"{0, 3, 5, 5, 5}",False,0.0,0.0
3.2,2.560000000000001,-1.4999999999999996,"[1, 0, 0, 0, 4, 0]","(1, 0, 0, 0, 4, 0)",0,"{0, 4, 4, 4, 4}",False,0.0,0.0
3.4,3.0399999999999996,-1.3040473293695087,"[1, 0, 0, 0, 3, 1]","(1, 0, 0, 0, 3, 1)",0,"{0, 4, 4, 4, 5}",False,0.0,0.0
3.6,3.44,-1.2864700617061375,"[1, 0, 0, 0, 2, 2]","(1, 0, 0, 0, 2, 2)",0,"{0, 4, 4, 5, 5}",False,0.0,0.0
3.8,3.7600000000000007,-1.362792753035554,"[1, 0, 0, 0, 1, 3]","(1, 0, 0, 0, 1, 3)",0,"{0, 4, 5, 5, 5}",False,0.0,0.0
4.0,4.0,-1.5,"[1, 0, 0, 0, 0, 4]","(1, 0, 0, 0, 0, 4)",1,"{0, 5, 5, 5, 5}",True,0.6931471805599453,1.0
1.0,0.0,0.0,"[0, 5, 0, 0, 0, 0]","(0, 5, 0, 0, 0, 0)",1,"{1, 1, 1, 1, 1}",True,0.6931471805599453,1.0
1.2,0.16,1.5000000000000004,"[0, 4, 1, 0, 0, 0]","(0, 4, 1, 0, 0, 0)",0,"{1, 1, 1, 1, 2}",False,0.0,0.0
1.4,0.64,1.5000000000000004,"[0, 4, 0, 1, 0, 0]","(0, 4, 0, 1, 0, 0)",0,"{1, 1, 1, 1, 3}",False,0.0,0.0
