season,episode,episode_id,title,imdb_id,hist1_pct,hist2_pct,hist3_pct,hist4_pct,hist5_pct,hist6_pct,hist7_pct,hist8_pct,hist9_pct,hist10_pct,avg_anger,avg_awkwardness,avg_frustration_or_despair,avg_humor,avg_joy_or_excitement,avg_sarcasm,avg_self_deprecation,contestant_avg_age,contestant_prop_female,contestant_prop_comedians,contestant_nationality_diversity,contestant_avg_experience
11,5,11_5,Slap and tong,tt13667152,0.0,0.0,0.5,0.0,1.4,5.1,19.2,25.2,21.0,27.6,0.171875,2.584375,0.0125,3.196875,0.028125,1.965625,1.7,39.6,0.4,0.6,2,18.666666666666668
11,6,11_6,Absolute casserole,tt13667164,1.1,0.7,0.7,0.4,0.7,3.0,11.1,17.3,17.7,47.2,0.2145110410094637,2.6151419558359623,0.0252365930599369,3.1293375394321767,0.0378548895899053,2.0252365930599368,1.719242902208202,39.6,0.4,0.6,2,18.666666666666668
11,7,11_7,You’ve got no chutzpah,tt13667168,0.5,0.0,0.0,0.0,0.5,6.2,23.6,30.3,16.9,22.1,0.1891025641025641,2.6506410256410255,0.016025641025641,3.0801282051282053,0.032051282051282,2.0416666666666665,1.6057692307692308,39.6,0.4,0.6,2,18.666666666666668
11,8,11_8,An orderly species,tt13667174,0.0,0.5,0.0,0.0,0.5,6.0,20.5,32.5,19.5,20.5,0.1382636655948553,2.6334405144694535,0.0032154340836012,3.135048231511254,0.0546623794212218,1.990353697749196,1.585209003215434,39.6,0.4,0.6,2,18.666666666666668
11,9,11_9,Mr Octopus and Pottyhands,tt13667180,0.0,0.5,0.0,0.5,1.0,6.2,24.7,26.8,19.1,21.1,0.2548387096774193,2.490322580645161,0.0096774193548387,2.9806451612903224,0.0548387096774193,2.012903225806451,1.5580645161290323,39.6,0.4,0.6,2,18.666666666666668
11,10,11_10,Activate Jamali,tt13667200,0.0,0.0,0.0,0.5,0.0,4.4,15.1,23.4,26.3,30.2,0.1758957654723127,2.6156351791530943,0.019543973941368,2.990228013029316,0.0553745928338762,1.990228013029316,1.6123778501628665,39.6,0.4,0.6,2,18.666666666666668
12,1,12_1,An imbalance in the poppability,tt14687854,0.4,0.0,0.4,0.0,0.9,3.0,18.1,30.6,20.3,26.3,0.227891156462585,2.452380952380953,0.0170068027210884,3.1564625850340136,0.0578231292517006,2.006802721088435,1.663265306122449,36.2,0.6,0.6,2,22.5
12,2,12_2,Oatmeal and death,tt14687858,0.5,0.5,0.0,0.5,1.0,5.5,24.1,37.2,10.1,20.6,0.2135593220338983,2.5254237288135593,0.0576271186440678,3.105084745762712,0.1220338983050847,2.071186440677966,1.5966101694915251,36.2,0.6,0.6,2,22.5
12,3,12_3,The end of the franchise,tt14687862,0.0,0.0,0.5,1.6,1.6,7.0,25.8,35.5,7.5,20.4,0.1978798586572438,2.3886925795053005,0.0212014134275618,3.0035335689045937,0.0742049469964664,1.9293286219081272,1.4770318021201414,36.2,0.6,0.6,2,22.5
12,4,12_4,The customised inhaler,tt14687864,0.0,0.0,0.5,1.1,0.5,4.2,19.0,29.6,20.6,24.3,0.2287822878228782,2.4760147601476015,0.8413284132841329,3.088560885608856,1.1070110701107012,2.0516605166051662,1.6974169741697418,36.2,0.6,0.6,2,22.5
